phase,algorithm,seed,job_id,slurm_state,exit_code,elapsed,source_commit,accepted_count,primary_artifact,sha256
train,grpo,42,937655,COMPLETED,0:0,01:05:40,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,ae7c6f4b6d97fcaba0a8eb2e25ae5758fe546a215bcbfe2e0b0ee19e3770c0a3
train,grpo,1234,937657,COMPLETED,0:0,01:05:57,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,b0326048d346ab2230553304ba7b00e6f164ae61e6dd2505323f0ec02dfaab46
train,grpo,2026,937688,COMPLETED,0:0,01:05:09,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,e6938761297c920889b334b267c3461b5f9fa7094c91cdbf3ce0261d54e80d6b
train,reinforce_plus_plus,42,937653,COMPLETED,0:0,01:06:42,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,d1837d7c0d900fd2cb8027e6d2165548116f9152e12f803813288a304b9c7f14
train,reinforce_plus_plus,1234,937680,COMPLETED,0:0,01:06:48,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,75790ecef99ec5403410a2c4a255a1d5ba2b3ea066fe9dd5da6beb9e76089962
train,reinforce_plus_plus,2026,937689,COMPLETED,0:0,01:07:04,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,876fb47b62d38be5f73ba82af6a46768f72bef432ba6850479fbb1cba7edc36b
train,reinforce_plus_plus_baseline,42,937654,FAILED,2:0,01:06:35,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps and checkpoint,training log,5f487d6e9468369161c4743dd0f7e6e9459a018d6682a7e3cf54dfa965c61cc7
train,reinforce_plus_plus_baseline,1234,937656,COMPLETED,0:0,01:05:52,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,8c86435f01c4d9f0faf61b2308bec6dd81b8aecdae7e6448dd9e5353d61547e2
train,reinforce_plus_plus_baseline,2026,937705,COMPLETED,0:0,01:04:37,5f7cd574372288391bb1c41ca0677422cd31e725,50 steps,training log,79a1115aed37ef0309da9352a4b4018899b3ca63d364470c04fab65dcc58805f
eval,grpo,42,937780,COMPLETED,0:0,00:10:56,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,0b09363f4f79fd0454ddf11466b7a5bc610f6e830d9a8abcd8ebbd74248dcc7b
eval,grpo,1234,937785,COMPLETED,0:0,00:10:55,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,25aefdec683cd997ca13be064049570cb28067856bf9aa713385d0cf7e70b852
eval,grpo,2026,937795,COMPLETED,0:0,00:10:56,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,3550b6d031c6cdc739883cf38546ddcbacfae0013b59dd372d55c306b91fe5ef
eval,reinforce_plus_plus,42,937782,COMPLETED,0:0,00:10:55,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,2bd8e118cab72930c0056b18d6da7119bd044c2c58e33b0b27fae464089d64c6
eval,reinforce_plus_plus,1234,937787,COMPLETED,0:0,00:11:03,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,67b0249726e4d407ba051ddaa308a4838a766b020f214831a0a9626fa115c0f7
eval,reinforce_plus_plus,2026,937796,COMPLETED,0:0,00:10:56,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,eb23055f0d1baaa5106614e937cc2867f6d9ed477bf739a3d4369aac173134b2
eval,reinforce_plus_plus_baseline,42,937784,COMPLETED,0:0,00:11:00,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,a8cf30ac7d604d28a555974258f556ea301e4c67166b9890d42302a4743904bb
eval,reinforce_plus_plus_baseline,1234,937788,COMPLETED,0:0,00:10:57,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,f4a4221d240cea165b90eb9d5c899ed3ccd4342a4184bc471e9af8744f1fbee0
eval,reinforce_plus_plus_baseline,2026,937797,COMPLETED,0:0,00:10:43,5f7cd574372288391bb1c41ca0677422cd31e725,1024 responses,summary JSON,e44386d19a8c00d60ddef10a4d076d1e5097dcff60dccec8a7d01c4f7197eb51
