algorithm,label,seed,training_job,step,raw_reward,loss,pg_loss,kl_loss,ppo_kl,grad_norm,advantage_mean,reinforce_pp_advantage_raw_mean,reinforce_pp_advantage_raw_std,reinforce_pp_advantage_normalized_mean,reinforce_pp_advantage_normalized_std,response_length_mean,truncated_ratio,step_time,response_tokens_per_second,effective_tokens_per_gpu_per_second
grpo,GRPO,42,937655,0,0.6875,3.725290298e-09,3.725290298e-09,0,0,1.143781781,-1.862645149e-09,,,,,897.78125,0.34375,277.1431274,103.6612396,2236.06958
grpo,GRPO,42,937655,1,0.53125,6.139278412e-06,-2.235174179e-08,0.0006152635906,0,1.297852039,1.490116119e-08,,,,,891.25,0.5625,69.24438477,411.8745422,3903.989502
grpo,GRPO,42,937655,2,0.21875,4.620407708e-06,1.396983862e-08,0.0004607781011,0,1.132939935,-1.396983862e-08,,,,,875.09375,0.5,68.13278961,411.0061951,3874.527344
grpo,GRPO,42,937655,3,0.3125,6.634742022e-06,-7.450580597e-09,0.0006635160535,0,1.241487861,-3.725290298e-09,,,,,993.59375,0.8125,75.0096817,423.8786316,3997.95459
grpo,GRPO,42,937655,4,0.21875,6.087124348e-06,0,0.0006087535294,0,0.996001184,3.725290298e-09,,,,,1023.125,0.96875,76.74170685,426.625885,4011.380127
grpo,GRPO,42,937655,5,0.5625,5.467794836e-06,-9.313225746e-10,0.0005467996816,0,1.162760854,2.793967724e-09,,,,,992.65625,0.78125,74.87845612,424.2208252,4003.168213
grpo,GRPO,42,937655,6,0.3125,7.074326277e-06,0,0.0007083250675,0,1.06730938,0,,,,,976.875,0.625,74.53538513,419.3981018,3979.416504
grpo,GRPO,42,937655,7,0.1875,7.197094874e-06,0,0.0007199587417,0,0.6581879258,0,,,,,1012.75,0.90625,77.12176514,420.2185669,4021.657227
grpo,GRPO,42,937655,8,0.65625,6.122514606e-06,7.450580597e-09,0.0006121440092,0,1.029151201,-7.450580597e-09,,,,,926.59375,0.46875,70.1419754,422.7283325,3969.147461
grpo,GRPO,42,937655,9,0.4375,6.712041795e-06,-1.11758709e-08,0.0006729391753,0,0.9697090387,1.11758709e-08,,,,,951.5625,0.65625,72.80406952,418.2458801,3934.327637
grpo,GRPO,42,937655,10,0.28125,6.962567568e-06,-1.303851604e-08,0.0006976397708,0,0.6115786433,1.303851604e-08,,,,,1010.09375,0.84375,77.34104156,417.9281921,4019.071533
grpo,GRPO,42,937655,11,0.75,7.692724466e-06,-3.725290298e-09,0.0007697800174,0,1.451014757,-7.450580597e-09,,,,,899.96875,0.5625,69.50376129,414.3516846,3899.277344
grpo,GRPO,42,937655,12,0.375,7.763504982e-06,0,0.0007770452648,0,0.9864166975,0,,,,,963.25,0.8125,73.00257874,422.2316589,3949.898193
grpo,GRPO,42,937655,13,0.53125,8.834525943e-06,-5.587935448e-09,0.0008838743088,0,0.7412991524,5.587935448e-09,,,,,887.96875,0.53125,68.37165833,415.5961914,3883.844482
grpo,GRPO,42,937655,14,0.5625,9.683892131e-06,-7.450580597e-09,0.0009691946325,0,0.7513567209,7.450580597e-09,,,,,841.59375,0.46875,65.55675507,410.8043518,3852.439697
grpo,GRPO,42,937655,15,0.375,8.98912549e-06,0,0.0008990798378,0,0.9398702979,0,,,,,956,0.78125,73.41228485,416.7149963,3941.531982
grpo,GRPO,42,937655,16,0.375,9.682029486e-06,-1.862645149e-09,0.0009682755335,0,0.650015831,1.862645149e-09,,,,,939.6875,0.71875,73.21504211,410.7079773,3918.843506
grpo,GRPO,42,937655,17,0.6875,1.07884407e-05,1.11758709e-08,0.001078491914,0,0.9429654479,-7.450580597e-09,,,,,896.3125,0.34375,69.4875946,412.7643127,3945.699707
grpo,GRPO,42,937655,18,0.5625,1.129195698e-05,3.725290298e-09,0.001130330493,0,0.8633131385,0,,,,,975.09375,0.5625,73.75974274,423.035675,4008.983398
grpo,GRPO,42,937655,19,0.625,1.233443618e-05,5.587935448e-09,0.001233112882,0,1.123957634,1.862645149e-09,,,,,928.5625,0.5625,71.14068604,417.6793823,3934.108643
grpo,GRPO,42,937655,20,0.46875,1.300591975e-05,3.725290298e-09,0.001299911062,0,0.5940547585,-6.519258022e-09,,,,,860.625,0.46875,65.86367798,418.1363831,3705.311279
grpo,GRPO,42,937655,21,0.625,1.488626003e-05,1.490116119e-08,0.001486526453,0,1.373822212,-1.490116119e-08,,,,,912.65625,0.5,69.33454895,421.2185669,3933.836182
grpo,GRPO,42,937655,22,0.59375,1.539873847e-05,0,0.001540012658,0,1.179231882,-1.862645149e-09,,,,,952.96875,0.59375,72.09302521,422.9951477,4111.888184
grpo,GRPO,42,937655,23,0.8125,1.844391227e-05,7.450580597e-09,0.001843834179,0,1.23489666,-5.587935448e-09,,,,,946.34375,0.46875,72.98690033,414.9100952,3961.116699
grpo,GRPO,42,937655,24,0.59375,1.960992813e-05,-2.235174179e-08,0.001961922972,0,1.543429494,1.11758709e-08,,,,,881.78125,0.625,67.94233704,415.3080444,3850.392578
grpo,GRPO,42,937655,25,0.40625,2.123787999e-05,3.725290298e-09,0.002123180777,0,1.34429729,-7.450580597e-09,,,,,976.1875,0.75,74.74087524,417.9507141,3975.640137
grpo,GRPO,42,937655,26,0.6875,2.602860332e-05,7.450580597e-09,0.002601858927,0,1.19503653,-1.11758709e-08,,,,,789.40625,0.28125,61.10585785,413.3973694,3844.897705
grpo,GRPO,42,937655,27,0.71875,2.774596214e-05,1.490116119e-08,0.002773427637,0,1.223434806,-4.656612873e-09,,,,,846.5625,0.53125,65.47348785,413.755249,3827.210693
grpo,GRPO,42,937655,28,0.78125,2.748519182e-05,3.725290298e-09,0.002748257481,0,1.00963366,-3.725290298e-09,,,,,829.6875,0.34375,64.75548553,410.0038757,3880.480225
grpo,GRPO,42,937655,29,0.71875,3.263269173e-05,9.313225746e-10,0.003263407387,0,0.7291494608,-9.313225746e-10,,,,,699.4375,0.28125,55.65157318,402.1809082,3791.594727
grpo,GRPO,42,937655,30,0.34375,2.833455801e-05,-3.725290298e-09,0.002833776642,0,0.7263265848,3.725290298e-09,,,,,922,0.65625,70.4020462,419.0787354,3938.144287
grpo,GRPO,42,937655,31,0.59375,3.351271152e-05,-3.725290298e-09,0.003351898631,0,1.259425998,3.725290298e-09,,,,,928.125,0.5,72.83837891,407.7520752,3933.253906
grpo,GRPO,42,937655,32,0.9375,4.053860903e-05,0,0.0040536616,0,0.6969623566,1.862645149e-09,,,,,740.59375,0.09375,58.61713409,404.3016052,3806.382324
grpo,GRPO,42,937655,33,0.6875,4.172697663e-05,7.450580597e-09,0.004171273671,0,1.312129498,-8.381903172e-09,,,,,785.65625,0.15625,59.98427582,419.1264954,3866.678223
grpo,GRPO,42,937655,34,0.25,3.497374928e-05,0,0.003497374943,0,0.01706463471,0,,,,,953.375,0.75,72.47935486,420.9198303,3947.65918
grpo,GRPO,42,937655,35,0.65625,4.469230771e-05,0,0.004468345549,0,1.23621583,7.450580597e-09,,,,,873.46875,0.34375,67.46079254,414.3295593,3918.791992
grpo,GRPO,42,937655,36,0.59375,4.677474499e-05,-7.450580597e-09,0.004676769022,0,0.8904830217,-1.862645149e-09,,,,,900.59375,0.46875,69.2080307,416.4112244,3914.631348
grpo,GRPO,42,937655,37,0.4375,4.325807095e-05,7.450580597e-09,0.004325252958,0,1.397116303,8.381903172e-09,,,,,799.25,0.5,62.26158142,410.7829895,3753.69043
grpo,GRPO,42,937655,38,0.75,4.367470683e-05,0,0.004367470741,0,0.01938716881,0,,,,,865.53125,0.3125,67.41645813,410.8344116,3936.65918
